term	def
مُتَكَلَّم	speaking, speaker
مِتَّكي	leaning
مِتْل	like, similar to, as
مَتلًا	for example
مِتمَدَّد	lying down stretched out
مُتمَسَّك	clinging to, sticking to
مُتَنازَع	rival, contestant, litigant party
مُتَناقُض	contradictory, incompatible
مَتنِي	folded
مُتَّهَم	accused
مِتهَيَّج	in a state of ferment, revolting, stormy
مِتوازَن	balanced
مِتوازي	parallel
مِتواضَع	humble, modest
مِتوَتَّر	tense, on edge, strained
مِتوَقَّع	expecting
مِثال،مُثُل	example, model, ideal
مِثالي	ideal, model, exemplary
مُثَقَّف	intellectual
مُثَلَّث/مُتَلَّت	triangle
مُثَنّى،المُثَنّى	dual (grammar)
مَجاز	metaphor
مَجال	space, room, field, domain, area, scope, opportunity
مُجامَلة	(good) manners, courtesy, convention, social usage, formalities, niceties
مَجّاناً	for free
مَجّاني	free of charge
مُجاوَر	neighbouring
مجَبَّر	osteopath, bone-setter
مجَبصَن	plastered, in plaster
مَجبور	obliged, compelled, forced, have to
مَجْبور،مَجْبورة،مَجْبورين	forced
مُجتَرّ	ruminant (?)
مُجتَهَد/مِجتهَد	hard-working
مِجداف،مَجاديف	oar
مجَدَّر	having smallpox, someone with smallpox
مجَدَّرة	delicious lentil and rice dish. very cheap to make. look it up.
مجَدَّل،مجَدّلة	plaited, braided (hair)
مَجَر،المَجَر	Hungary
مَجرا	draft
مجَرَّب	experienced
مُجَرَّد	naked, denuded, plain and unadorned, abstract, just
مُجرَم	criminal, culprit
مَجروح،مَجروحة،مَجَارِيْح	wounded
مَجرود،مَجاريد	dustpan
مَجرى،مَجاري	stream, sewer, current, course
مَجزَرة،مَجازَر	massacre
مجَعَّد	wrinkled, lined, curly
مجَعلَك	creased, crumpled
مجَفَّف	dried
مَجَلّة	magazine, periodical
مجَلَّد	(leather) bookbinder
مُجَلَّد	volume (archive, book)
مَجلى،مَجالي	sink
مَجْلى،مَجَالي	kitchen sink
مَجلي	washed, polished
مجَمَّد	frozen, stiff, congealed
مجَمرَك	cleared through customs
مَجمَع،مَجامَع	meeting, assembly, synod
مَجموع،مَجاميع	total, whole
مَجموعة	collection, compilation, group
مُجَنَّد	recruited, enlisted, mobilized
مجَنزَر	covered in sediment/verdegris
مجَنزَر	tracked vehicle (like a tank)
مَجنون/بَهلول/وَزير	bishop (chess)
مَجهَر،مَجاهَر	microscope
مجَهَّز	ready, having prepared
مَجهود	effort
مَجهول	unknown, anonymous
مِجوَز	even, double
مُحادَثة	conversation
مُحاسَب	accountant
مُحاسَبة	accountancy, accounting
مُحاضَر	lecturer
مُحاضَرة	lecture, talk
مُحافَظ	conservative, traditional
مُحافَظة	preservation, conservation
مُحاكَمة	trial
مُحاماة	law, the legal profession
مُحامي،مُحاميّة،مُحامين	lawyer, advocate, counsel
مُحاوَلة	attempt
مَحّاية	rubber, eraser
مُحايَد	neutral
مُحايَدة	neutrality
مَحَبّة	love, affection
مَحبَس،محابَس	wedding ring
مُحبَط	frustrating
مَحبوب	loved, beloved, liked
مَحبوب،مَحْبوبة،مَحبوبين	beloved
مَحبوس	locked up
مَحبوس،مَحابيس	imprisoned, shut up, prisoner
مِحتاج	needing, requiring
مُحتَرَف	professional
مُحتَرَم	respected, esteem, respectable
مُحتَشَم	modest, decorous
مُحتَلّ	occupying, occupied
مُحْتَلّ،مُتَلّة،مُحتَلّين	occupied
مُحتَلّين	occupiers
مُحتَوى	content (s)
محَجَّب	veiled
مَحدَدة	forge, blacksmith's workshop, smithy
مَحدود	limited, bounded, confined, fixed
مَحرات،مَحاريت	plow
محَرَدب	hunchbacked
مُحَرَّر	editor, liberator
مَحرَمة،مَحارَم	handkerchief
مَحروس	guarded, protected
مَحروق	burned
مَحروم	deprived, dispossessed
مُحسَن	philanthropist, benefactor, donor
مَحسوب،مَحاسيب	protogé, person in someone's service
مَحسوبِيّة	favoritism
مَحسوس	felt, perceptible
مَحْسوس،مَحْسوسة،مَحْسوسين	felt
مَحسوم،مَحاسيم	roadblock, checkpoint (from Hebrew)
مَحشَشة	hashish den
مَحشورين	squashed together
مَحشي	stuffed
مَحصول،مَحاصيل	harvest, produce
مَحَطّة	station (bus railway etc)
مَحَطّة،مَحَطّات	station
مَحْطوط،مَحْطوطة،مَحْطوطين	put, placed
مَحظوظ	lucky
مَحْظوظ،مَحْظوظة،مَحْظوظين	lucky
مَحفَظة	wallet
مَحفور	dug
مَحفوظ	kept, retained, memorized
مُحقان،مُحاقين	funnel
مُحَقَّق	investigator, interrogator
مَحقَن،مَحاقَن	funnel (for pouring liquids)
مَحكَمة،مَحاكَم	court
مَحل	drought
مَحَلّ،مَحَلَّات	room (space), place, shop, store
مُحَلَّف	juror, member of the jury
مَحلَقة	barber shop
مَحمَص،مَحامَص	coffee roaster's, coffee roasting company
مَحمَصة	roaster, toaster
مَحمول	bearable, tolerable
مَحمي	protected
مَحمِيّة	reserve
مُحَنَّط	embalmed, stuffed
مِحوار،مَحاوَر	axis, plot, center
محَيَّر	confusing, puzzling, embarrassing
مُحيط	ocean, surroundings
مُخّ	mind, brain
مَخاضة	ford, crossing place (river)
مُخاطَب	addressed, spoken to
مخاطة	snot, nasal mucus
مُخالَطة	mixing, mingling, contact
مُخالَف	offender
مُخالَفة	contravention (of the law), infringement, offense, breach (of the peace), ticket (for a small offense)
مخاوَزة	favoritism
مَخاوَف	fears, anxiety
مخَبّة/مخَبّاية	hidden
مُخبَر	informant, snitch
مَخبَز،مَخابَز	bakery
مَخبوز	baked
مَخبى،مَخابي	hiding place
مْخَبّي،مْخَبّية،مْخَبّيين	hiding (act)
مُختال	arrogant, concited
مُختَبَر	laboratory
مُختَرَع	inventor
مُختَصّ	competent, specialised
مُختَطَف	kidnapper, hijacker
مُختَلّ	disturbed, unbalanced, out of order
مُختَلَط	mixed
مِختَلَف	differing, different
مخَدّة	pillow
مَخدوش	scratched
مُخَرَّب	terrorist, destroyer, sabotager, vandal(?)
مخَربَط	confused, muddled
مَخرَج،مَخارَج	way out, escape
مَخرَز،مَخارَز	awl, punch
مَخرَطة،مَخارَط	lathe
مخَزَّق	holed, with several holes
مَخزَن،مَخازَن	storeroom, warehouse
مَخْزَن،مَخازِن	storeroom
مَخزوق	holed, has a hole in it
مخَشخَش	soft in the head, not all there
مخَصَّص	special, kept specially for (a particular purpose)
مُخَصَّص	allowance, (state) benefit
مَخصوص	special, especially, specially
مَخْصوص،مَخْصوصة،مَخْصوصين	special
مَخصي	castrated
مُخطَر	dangerous
مُخّطَّط	planned, scheduled
مَخطوط	handwritten
مَخفَر	police station
مَخلَب،مَخالَب	claw, talon
مخَلخَل	unsteady, shaky, wobbly
مخَلَّص	finished, having finished
مُخلَص	faithful, loyal, dedicated, devoted
مخَلَّل	fermented, pickled
مَخلوط	mixed, mixture
مَخْلوط،مَخْلوطة	mixed
مَخلوق	created, creature
مخَمَّج	overripe, on the point of rotting
مْخَمِّج،مْخَمْجِة	rotten, overripe
مخَمَّن	assessor / appraiser
مخَنَّط	effeminate, homosexual
مَخنوق	strangled, suffocated, choked, muffled, stifled
مُخيف	frightening
مُخَيَّم	camp
مُدار	administered
مُداعي	prosecutor
مَدبَحة،مَدابَح	massacre
مَدبَرة	swarm (of bees), beehive
مُدّة	period of time, a while
مُدّة،مُدّات	time period
مَدح	praise, compliments
مَدحَلة،مَداحَل	steamroller, road-roller
مَدخَل،مَداخَل	entrance
مَدخَنة،مَداخَن	chimney, funnel
مَدخول	income
مُدَرَّب	trainer
مُدَرَّج	graded, graduated, auditorium, ampitheater, stadium
مَدرَسة،مَدارِس	school
مَدفَع،مَدافَع	cannon
مَدَقّة	pestle (for grinding things)
مْدَلَّع	spoiled
مِدماك،مَدَميك	a course of bricks
مُدمَن	addicted
مَدمون	assured, guaranteed
مَدمون،مَدامين	contents, content
مُدهَش	astonishing, amazing
مِدهَن	fatty (of food)
مَدْهون،مَدْهونة،مَدْهونين	painted
مدَوَّد	worm-eaten
مدَوَّر	round
مْدَوزَن،مْدَوزْنة،مْدَوزْنين	tuned (musical instrument)
مَدى	distance, extent, range
مُدير،مُديرة،مُدَرَا	supervisor
مُدير،مُديرة،مُديرين	manager, director, principal
مَدينة،مُدُن	town, city
مَديون	in (someone's) debt, owing, indebted
مُذيع/مُزيع	announcer, newsreader
مُرّ	bitter
مَرأَ	sight, a sight
مَرّات	sometimes
مُراجَعة	review, revision, audit, rehearsal, petition, application, petition, application
مَراحيض	public toilets
مُرادَف	synonym, synonyms
مَرارة	gall, bile
مُراسَل	correspondent, reporter, messenger
مُراسَلة	correspondence
مُراعَضة	opposition, objection
مُرافَقة	accompaniment, escort
مراقَب	supervised, monitored, checked up on, censored
مْراقَب،مْراقْبة،مْراقْبين	censored, controlled, supervised
مُراقَبة	observation, supervision, censorship, control
مُراهَق	teenager, adolescent
مْراي\مْراية،مُري\مَرايا	mirror
مُربَح	profitable, lucrative
مرَبرَب	huge, enormous, fat
مرَبَّط	thoroughly tied up
مرَبَّع	square (adj)
مَربوط	tied up
مَرْبوط،مَربوطِة،مَربوطين	tied
مرَبّى،مرَبّايات	jam
مُرَبّي	breeder (of livestock), educator
مْرَبّي،مْرَبّية،مْرَبّيين	having brought up, educator, breeder, well brought up
مَرّة	once
مَرّة،مَرّات	instance
مَرَة،نِسوان\نِسا	woman
مُرتاح	relaxed, at rest, calm, relieved, reassured
مَرتَبة،مَراتَب	grade, rank, place
مِرتجَف	shaky, trembling, stuttering
مُرتَجَل	improvised
مُرتَدّ	apostate
مُرتَفَع	high, elevated
مَرَتين	twice
مَرجَع،مَراجَع	source, authority, reference book, competent authority
مَرْجِع،مَراجِع	resource, official application authority, office of appeal
مُرجَيحة،مَراجيح	swing
مَرْحَبا	hello
مَردود	output, yield, return(s), income
مَردود	given back, sent back
مِرساه/مِرساية،مِراسي	anchor
مرَستَق	elegant
مَرسوم	drawn
مرَشّ	watering can, sprayer, spray gun
مرَشَّح	having a cold
مُرَشَّح	candidate
مْرَشِّح،مْرَشِّحة،مْرَشِّحين	having a cold, having a runny nose
مُرشَد	guide
مَرضوض	bruised
مُرضي	satisfying, satisfactory
مَرطَبان	jar
مُرعَب	frightening, alarming, terrifying
مَرعى،مَراعي	pasture
مَرغوب	wanted, desirable, sought after, in demand
مَرفوض	undesirable, unacceptable, unsatisfactory, objectionable
مِرَق،مِرقة	thin, watery
مَرَقة	chicken soup, gravy
مرَقَّط	spotted
مرَقَّم	numbered
مُرَكَّب	complicated, complex, hang-up
مَرمِي	thrown
مَرْمي،مَرْميّة،مَرْمِيين	thrown
مَرَن	supple, flexible
مَرهَم،مَراهَم	ointment, cream
مَرهون	pawned, mortaged
مرُوّة	energy, vitality
مرَوَّح	gone home, left
مَروَحى،مَراوَح	fan, ventilator, propeller
مَروَحِيّة	helicopter
مُرور	passing, passage, access
مرَوَّس	sharpened
مُرَوَّض	(animal) trainer, breaker
مُرونة	flexibility
مَروني،مَوارنة	Maronite
مُريح	convenient, comfortable, easy, user friendly, restful
مَرّيخ،المَرّيخ	Mars
مَريض،مَريضة،مَرضَا	sick, patient
مَريَم	Mary
مَريَمِيّة	sage (vegetable)
مُرَينا،مَرايَن	beam, rafter
مَريول،مَراييل	apron
مِزاج	mood, temperament
مِزاجي	temperamental
مِزاجِيّة	temperamentalness
مَزاد	auction
مُزارَع	farmer
مُزايكا/مُزايكو	mosaic
مَزبَلة،مَزابَل	garbage heap, dump
مَزّة/مازا	mezze, snacks
مَزح	joking, laughter
مزَخرَف	decorated, ornamented
مُزدَهَر	thriving, prosperous, flourishing
مِزراب،مَزاريب	gutter (on roof), drainpipe
مَزرَعة،مَزارَع	farm
مزَفَّت	tarred, surfaced, paved
مُزَكَّر	masculine (grammar)
مُزمَن	chronic
مَزمور،مَزامير	psalm
مُزنَب/مُذنَب	guilty, culprit
مَزنوق	pressed, compressed, under pressure
مزَوَّر	forged, fake
مِزوَق	possessing good taste
مَزيج	mixture, blend, combination
مزَيَّف	counterfeit, forged
مَسا الخير	Good evening
مَسا النور	Good evening
مُسابَقة	competition, quiz
مَساج	massage
مَسّاح	surveyor (land)
مَساحة	area, extent
مَسّاحة	windscreen wiper
مُساعَد	deputy, assistant
مُساعَدة	help, assistance
مَسافة	distance
مْسافَر،مْسافْرة،مْسافْرين	having travelled
مُساهَمة	contribution
مُساواة	equality
مُسايَرة	willingness to please, consideration, amenability
مَسائي	evening (adj)
مسَبّة	swear word, curse
مَسبَحة،مَسابَح	string of beads, rosary, prayer beads, worry beads
مُسبَق	preceeding
مَسبوك	a cast (something that's been cast, like, metal)
مُستأَجَر	rented
مِستأَجَر	renter, tenant
مِستاهَل	deserving, worthwhile
مُستَبعَد	improbable, unlikely
مُستَدير	round
مسَتَّر/مسَتّرة	covered (in clothes etc)
مُستَشار	advisor, consultant
مُستَشرَق	orientalist
مُستَطيل	rectangle, rectangular
مُستَعار	borrowed
مِستَعجَل	urgent
مِستَعجِل	hurried, in a hurry
مِستعَدّ/مُستَعَدّ	prepared, ready, willing
مُستَعمَرة	colony
مُستَعمَل	used, second-hand
مِستعير	having borrowed (AP)
مُسْتَقْبَل	future
مُستَقَرّ	stable, sedentary
مُستَقيم	straight, honest, upright, trustworthy
مِستكة،مِسكة	gum
مُستَمَرّ	perpetual, lasting, continuing, constant, eternal
مُستَمَرّ	constant, continuous, steady, permanent
مُستَمَع	listener
مُستَنَدّ	document
مُستَنقَع	swamp
مِستَنّي	waiting (as in "I am waiting")
مَستور	protected (by God, from disgrace/slander/etc)
مَستور	respectable, of good reputation (esp women/girls)
مُستَورَد	imported
مُستَوصَف	clinic
مُستَوضّع	warehouse, depot, storehouse
مُستَوطَن	settler, colonist
مُستَوطَنة	settlement, colony
مُسْتَوَى،مُستَوَيَات	level
مِستوي	ripe, cooked, done, exhausted, worn out, done in
مَسجِد،مَساجَد	mosque
مسَجَّل	(tape) recorder, cash register
مسَجَّل	registered
مَسحور	enchanted
مَسخَرة،مَساخَر	laughing stock, object of ridicule, fancy dress, masquerade
مَسدود	blocked
مُسَرَّح	demobilized, demobbed (soldiers etc)
مسَرسَب	obsessed
مَسرور	happy, pleased, glad
مَسروق	stolen
مسَطَّر	ruled, lined
مَسطَرة،مَساطَر	ruler (for drawing lines)
مسَطَّل	disorientated, spaced out, woozy, distracted
مَسطول	drunk, drugged, high, stoned
مسَفلَس	syphilitic, having syphilis
مسَقَّع	very cold
مسَكَّر	closed, locked
مَسكَن،مَساكَن	home, place of residence
مُسَكِّنات	tranquillisers
مَسكون	inhabited, populated
مِسكين	poor, unfortunate
مِسكين،مِسكينة،مَساكِيْن	poor
مُسَلَّح	armed
مَسلَك،مَسالَك	way, (traffic) lane
مَسلوق	boiled
مُسَمّ	poisonous, venomous
مُسمار،مَسامير	nail (carpentry)
مَسمَكة،مَسامَك	fish shop
مَسموح	permitted, allowed
مَسْموح،مَسْموحة،مَسْموحين	allowed
مَسموم	poisoned, poisonous
مسَنّ	grindstone, whetstone (handheld)
مُسَنّ	old, elderly, old person
مُسهَل	laxative
مَسهول	suffering from diarrhoea
مِسوَدّة	draft, negative (photos)
مسَوَّس	worm-eaten, decayed
مَسْؤل،مَسْؤلة،مَسْؤلين	questioned
مَسْؤليّة	responsibility
مَسوني	freemason
مسَيَّج	fenced off, fenced in
مُسيل	causing to flow
مُشاغَبة	trouble, disturbance
مشافتَر	thick lipped
مُشاهَد	onlooker, viewer
مُشاهِدين	viewers (tv etc)
مَشايَخ	elders, notables
مَشبَك،مَشابَك	clip
مَشبوه	suspect, suspicious
مَشْبوه،مَشبوهة،مَشْبوهين	suspicious, suspect
مِشتاق	missing someone
مُشتَرة	bought (not homemade)
مُشتَرَك	common, shared
مِشترَك/مُشتَرَك	participant, subscriber
مِشتري/مُشتَري	buyer, purchaser
مَشتَل/مَشاتَل	nursery (for plants)
مُشَجَّع	encouraging
مِشحاف	stripping knife (for removing paint etc)
مشَحبَر	burnt black
مشَرَّب	drenched, soaked
مشَربَك	tangled
مُشَرَّدين	exiles, refugees
مشَرَّش	covered in varicose veins
مشَرشَح	worn out, treated badly, humiliated, abused
مُشَرَّع	legislator
مُشرَف	supervisor, invigilator
مُشرَك	polytheist
مَشروب	drink, beverage (mainly alcoholic)
مَشْروب،مَشْروبة،مَشْروبات	drink
مَشروط	conditional
مُشط،مشاط	comb, magazine (of weapon), that christian fish
مَشعَل،مَشاعَل	torch, flare
مَشعور	cracked, split
مُشَغَّل	employer
مَشغَل،مَشاغَل	factory, workshop, sewing workshop
مَشْغول،مَشْغولة،مَشْغولين	busy
مَشقوق	cracked, split open
مَشقوق	slightly open, ajar
مشَكَّل	assorted, various, vocalized, vowelized
مُشكِلة/مُشكِلتجي	problem / troublemaker
مشَلَّط	reckless, heedless
مَشلول	paralyzed
مشَمَّس	sunny
مشَمَّع	waterproofed, oilcloth, oilskin, raincoat
مشَنَّج	ricked, sprained, in spasm
مشَنَّص	lucky
مِشوار،مَشاوير	excursion, walk, errand
مُشْوار،مَشاوير	excursion, errand
مشَوَّب	(feeling too) hot
مشَوَّش	confused, muddled, confusing?, middling?
مشَوَّق	arousing desire / eagerness, interesting
مشَوَّه	misshapen, deformed, disfigured
مَشؤوم	unlucky, ominous
مَشوي	roasted, grilled
مَشية	walk, way of walking
مشَيَّد	well-built
مُصاب	injured, hurt, casualty, afflicted, infected
مُصادَرة	exportation, confiscation, export, impounding
مُصادَقة	(official) approval, ratification
مَصاري	money
مَصّاصة	lollipop, pacifier
مصَبَّر	stuffed (taxidermy)
مَصبَغة،مَصابَغ	laundry, laundrette, laundromat
مَصبوغ	dyed
مُصتَنَع	forced, artificial
مَصَحّ	convalescent home, sanatorium
مُصحَف،مَصاحَف	copy of the Qur'aan
مَصحوق،مَصاحيق	powder
مصَدّي	rusty
مُصَرّ	determined, resolved, sticking to
مُصران،مَصارين	intestine, bowel
مَصروف،مَصاريف	expense
مَصْروف،مَصاريف	expense
مُصطَلَح	conventional, customary, linguistic term
مَصعور	rabid, infected with rabies
مُصَغَّر	reduced, smaller
مصَفّاي	filtered
مَصفاية،مَصافي/مَصفايات	filter, strainer
مصَفَّح	armored
مَصل	serum
مَصْلَحة	interest, benefit
مَصلَحة،مَصالَح	interest, benefit
مَصلوب	crucified
مُصَمَّم	determined, resolved
مُصَمَّم	designer, planner
مَصنَع،مَصانَع	factory
مصَوَّر	photographed, illustrated
مصَوَّر	photographer
مصيبة،مصايَب	misfortune, trouble, disaster
مَصيَدة،مَصايَد	trap
مَصير	fate, destiny
مَصّيص،خَيط مَصّيص	string, twine
مصَيَّف	wearing summer clothes, spending summer
مُضاد	opposed, contrary, anti-
مُضارَب	speculator, competitor
مُضارَبة	speculation (stock exchange etc)
مُضاعَفات	complications, side effects
مُضحَك	funny, amusing, ridiculous, laughable
مضَخّة	pump
مُضّرّ	harmful, noxious
مُضرَب	striker
مَضرَب،مَضارَب	camp, campsite, encampment
مُضطَهَد	persecuted
مَضغوط	pressed, compressed
مَضْوي،مَضْويّة،مَضْوِيين	lit
مَطار،مطارات	airport, airfield
مُطارَد	wanted, pursued, hunted down, stalked
مُطارَدة	pursuit, chase, harassment
مَطّاط	elastic, stretchy, rubber (adj)
مَطّاطي	rubber (adj)
مُطالَعة	reading (for study or pleasure)
مَطاهَر	bathrooms, washrooms (especially next to mosques)
مَطْبَخ،مَطابِخ	kitchen
مَطْبَع	printing house
مَطبَعة،مَطابَع	printing house, print shop, printer's
مَطبوخ	cooked
مَطْبوع،مَطْبوعة،مَطْبوعين	printed
مَطحَنة،مَطاحَن	grinder, mill
مَطْحَنة،مَطاحِن	grinder
مَطَر،أَمطار	rain
مُطران،مَطارنة	archbishop (also used to address a normal bishop)
مُطْرِب،مُطرِبة،مُطرِبين	singer
مَطَرة	water canteen, water bottle
مَطرَح،مَطارَح	place, spot
مطَرَّز	embroidered
مِطرَقة	hammer
مطَعَّم	vaccinated
مَطعوج	bent, dented
مَطفي	extinguished, switched off, turned off
مَطلَب،مَطالَب	request, demand
مَطلَع	beginning, stairwell
مُطَلَّع	apprised, updated
مطَلَّق	divorced
مُطلَق	absolute, total
مَطْلوب،مَطْلوبة،مَطلوبين	requested
مَطلي	coated
مطَهَّر	circumsized
مطَوَّق	surrounded
مَطوي	folded
مُطيع	obedient
مُظاهَرة	protest, demonstration
مَظْبوط	all right
مظَلبَط	naked, nude
مِظَلّة	parachute
مظَلَّط	nude, naked
مَظلوم	oppressed, unjustly treated
مَظهَر،مَظاهَر	appearance, sight
مَع	with
مَع السَلامة	bye
مَع بَعض	together
مَع بَعْض،سَوا	together
مُعادَلة	equation
مُعارَضة	opposition
مَعاش	salary, allowance, pension, benefit
مَعاش،مَعَاشَات	salary
مَعّاصة	mill, grinder, masher, crusher
مُعاصَر	modern, contemporary
مُعاكَس	opposing, opposite, contradictory, counter
مُعالَجة	treatment, treating, taking care
مْعامَلة	treatment, attitude, behavior
مُعاوَن	deputy, assistant
مُعاوَنة	help, assistance, support
مَعبَر،مَعابَر	crossing point (as in Rafah), pass, defile, ford
معَبَّق	strong scented, smelly
مُعتَدَل	moderate, temperate, mild
مُعتَقَد	creed, belief (believed)
مُعتَقَل	under arrest, arrested, detained, held
مُعجَب	admirer, fan
مُعجِزة	miracle
مَعجونة،مَعاجين	paste, cream (cosmetic), putty, filler, plasticine, modelling clay
مُعَدّات	appliances, equipment, gear
مِعدة	stomach
مَعدَن،مَعادَن	metal
مُعدي	infectious, contagious
مَعرَج	Mohammed's ascension to heaven
مَعرَض،مَعارَض	exhibition
مَعرِفة،مَعارَف	knowledge, information, acquaintance, friend
مَعرَكة،مَعارَك	battle, campaign
مَعروف	known, well known, familiar, favor, good deed, charity
مَعْروف،مَعْروفة،مَعْروفين	kindness
مَعزا	goats (coll)
مَعزاية	one (or more) goat(s)
مَعزور/مَعذور	excused
مَعزول	lonely, isolated, dismissed, sacked, fired
مَعزوم مَعازيم	invited, guest
مَعْزوم،مَعْزومة،مَعْزومين	invited
مُعَسكَر	(military) camp
مَعسول	sweet (as honey)
مَعسوم	protected, immune
مَعصارة،مَعاصَر	press (for extracting juice, oil, etc)
مُعطى	piece of data/information, datum
مُعظَم	majority, most
مَعفي	exempt
معَقَّد	tied with several knots, knotted, complicated, complex, suffering from a complex
مَعْقول	makes sense
مَعكرونة	macaroni
مَعكوف	crooked, bent
مَعلاق	pluck (organs used as food)
معَلَّب	tinned, canned
معَلَّبات	canned foods
مَعْلِش	nevermind
معَلَّق	hanging, suspended
مُعَلَّق	commentator
مَعلَقة،مَعالَق	spoon
مَعْلَقة،مَعالق	spoon
معَلَّم	teacher, master of a trade
مَعلوم	known, obvious, of course! naturally!
مَعلوم،طَبعًا	of course
مَعلومات	information, data
مَعماري	building (adj)
مَعمَدان،يوحَنّا اْلمَعمَدان	baptist, John the Baptist
مَعمَل،مَعامَل	factory, works, workshop
مَعْمَل،مَعامِل	factory
مَعمودِيّة	baptism
مَعمول	made, a pastry
مَعْمول،مَعْمولة،مَعْمولين	crafted
مَعنَوي	relating to meaning, spiritual, moral
مَعنَوِيّات	morale
مَعنى،مَعاني	meaning, significance
مَعنَى،مَعاني	meaning
مَعْنى،معْنة،مَعاني	meaning
مَعني	interested, concerned
مَعهَد،مَعاهَد	institute, institution
مِعيار،مَعايير	criterion, norm, standard, (good) example
مَعيشة	way of living, lifestyle
مُعيل	breadwinner
مُعَيَّن	(a) certain, particular
مُعَيِّن،مُعَيَّنة،مُعَيَّنين	specified, particular, specific, definite
معَيّي	much (in some areas)
مغارة،مُغُر/مَغايَر	cave
مُغامَرة	adventure
مغاوَزة	favoritism
مغَبَّر	dusty
مغَبَّش	blurred, blurry, indistinct, fuzzy
مُغتَصَب	rapist
مَغدور	murder victim
مَغرَب	sunset, evening, the west, Morocco, the Maghreb
مُغرَب	evening
مُغرَبِيّة	couscous
مَغرور	conceited, boastful
مُغري	tempting, enticing, alluring
مَغزة	meaning, moral
مُغَزّي،مُغَذّي،	nutritious
مَغسَلة/مَغسَل،مَغاسَل	washbasin
مغَلَّف	envelope
مَغلَواني	charging high prices, expensive, pricy
مَغلوب	defeated, vanquished
مَغْلي،مَغْليّة،مَغْلِيين	boiled
مَغنَطيس	magnet
مَغنَطيسي	magnetic
مغَنّي	singer
مُغَّيط	rubber bands, elastic bands (coll)
مُغَّيطة	rubber band, elastic band
مغَيَّم	cloudy, overcast
مُفاجَأة	surprise
مُفاجَئة	surprise
مفاصَلة	bargaining, haggling
مُفاوَضات	negotiations [official] talks
مُفتاح،مَفاتيح	key, electrical switch
مُفتَاح،مَفَاتِيْح	key
مفَتَّح	open-eyed, able to see, open minded
مُفتَرَق	junction, crossroad
مُفَتَّش	inspector, supervisor
مُفتَعَل	simulated, artificial, spurious
مَفْتوح،مَفْتوحة،مَفْتوحين	opened
مفَخَّخ	booby-trapped
مفَخفَخ	pompous, over-elaborate, affected
مُفَخَّم	treated with great respect, emphatic (grammar)
مَفَرّ	escape, flight
مُفرَد	single, detached, singular (grammar)
مِفرَد	odd (number)
مفَرَّز	frozen
مُفرَغ	vicious?
مُفَرَّق	retail (separated)
مَفرَق،مَفارَق	crossroads, intersection, junction
مَفروض	committed, supposed, expected, presumed, imposed
مَفشول	having failed
مَفصَل،مَفاصَل	joint (anatomy), hinge
مُفَصَّلة	hinge
مِفطَر	having had breakfast
مفَطَّس	stinking, rancid, putrid
مَفعول	influence, effect, validity (of a document or something)
مفَقفَل	blistered
مَفقود	lost
مَفْقود،مَفْقودة،مَفْقودين	lost
مفَكّ	screwdriver
مُفَكَّر	thinker
مُفَكِّرة	diary, appointment calendar
مَفكوك	untied, dislocated
مَفلوج	paralyzed
مَفْهوم،مَفْهومة	(thing) understood
مَفهوم،مَفاهيم	understood, concept, idea, meaning
مُفَوَّض	authorized agent, proxy
مُفيد	useful, instructive, interesting
مُقابَل	recompense, for, in exchange for, as compared with
مُقابَلة	interview, official meeting
مُقارَنة	comparison
مقاصَص	punished, in punishment, in detention (?)
مُقاطَعة	boycott, interruption, shortcut, area, region, district, the Muqata'a (PA's seat of government)
مَقالة	article
مَقالة،مَقالات	article
مَقالي	fried food
مَقام	place, position, rank, tonality, mode (music)
مَقامة	a work of rhymed prose (arabic literary genre)
مُقاوَل	contractor
مقاوَلة	contract, piecework
مُقاوَمة	opposition, resistance
مَقبَرة،مَقابَر	cemetery
مَقبور	buried
مَقبول	acceptable, reasonable, popular, well-liked
مِقتة،مِقتاي	melon field, cucumber patch
مُقتَرَح	proposed
مُقتَطَف	excerpt, extract, selected piece, selection, picking?
مقَحمَش	crispy
مِقداف،مَقَديف	oar
مَقْدَح	drilling machine
مَقدَح،مَقادَح	drill
مَقدِرة	ability, capability, capacity
مُقَدَّس	holy, sacred
مَقدِسي،مَقادِسة	Jerusalemite
مُقَدَّم	lieutenant colonel, the first installment of the dowry
مُقَدَّمة	foreword, preface, introduction, prologue
مَقدوح	drilled, has a hole in it
مَقَرّ	place of residence, center, seat
مقَرمَز	crouching
مقَرَّن	cuckold
مقَزَّز	icy, frosty (of ground?)
مَقسوم	divided
مقَشَّب،مقَشّبة	callused
مقَصّ	scissors
مقَصَّد	deliberate, intentional
مقَصَّر	insufficient, shortened
مَقصود	the person or object intended, intention, aim, objective
مقَطَّر	distilled
مَقطَع/مَقاطَع	section, extract, excerpt, paragraph, syllable
مَقطوع	cut off
مَقطوعة	piece (of music, poetry, etc)
مُقعَد	disabled, handicapped, disabled person
مَقعَد،مَقاعَد	seat, bench, dock
مَقلَب،مَقالَب	(practical) joke, prank
مقَلَّد	copy, imitation, copied, imitated
مُقْلِق	worrisome, disturbing
مقَلقَز	unsteady, wobbly
مقَلَّم	striped
مَقلوب	upside down, inside out
مَقلوبة	maqlubeh, an upside down layered dish of things
مَقلى،مَقالي	frying pan
مَقلي	fried
مَقمَرة	casino
