past	pres	form	def
صَبّ	يصُبّ	1	to pour, pour out
صَبَّح	يصَبَّح	2	to bless with a good morning (of God), to say good morning
صَبَر	يُصبُر	1	to be patient, wait patiently
صَبَّر	يصَبَّر	2	to stuff (taxidermy)
صَبَغ	يِصبَغ	1	to dye, paint (easter egg?)
صَحّ	يصَحّ	1	to happen, be possible, come along
صَحّ	يصُحّ	1	to get better, recover, be alright
صَحَّح	يصَحَّح	2	to correct, rectify, amend, to straighten
صَحصَح	يصَحصَح	[4]	to get better
صَحّى	يصَحّي	2	to wake (trans), arouse, rouse, to warn, draw attention to
صِحي	يِصحى	1	to wake up, regain consciousness, to sober up, become aware/alert, to clear up (of weather)
صَدَر	يُصدُر	1	to be published, be issued, appear
صَدَّر	يصَدَّر	2	to export
صَدَف	يُصدُف	1	to happen, occur by chance
صَدَّق	يصَدِّق		to believe
صَدّى	يصَدّي	2	to rust, become rusty
صَرّ	يصُرّ	1	to tie up, truss up
صَرَّح	يصَرَّح	2	to declare
صَرَخ	يُصرُخ	1	to shout, scream
صَرَف	يُصرُف	1	to spend money, to use up, to change money, to dismiss, sack, fire
صَرَّف	يصَرَّف	2	to market, retail
صَعَّب	يصَعَّب	2	to make difficult
صَعَد	يُصْعُد	1	to rise, ascend
صَغَّر	يصَغَّر	2	to reduce, make smaller
صَفّ	يصُفّ	1	to line stuf up, arrange in a row, to queue, stand in line, stand in a row
صَفَّح	يصَفَّح	2	to plate, cover with plates, to armor
صَفرَن	يصَفرَن		to faint, pass out (to literally turn yellow)
صَفَّق	يصَفَّق	2	to clap (hands) (more formal word)
صَفَن	يُصفُن	1	to think, reflect, think in silence, be deep in thought
صَفّى	يصَفّي	2	to filter, strain, distil, refine, to be left, end up, to settle (bill), to liquidate, sell off
صِفي	يِصفى	1	to clear (intrans), become clean, become pure
صَقَل	يُصقُل	1	to polish, burnish, cut (diamond)
صَلَب	يُصلُب	1	to crucify
صَلَّب	يصَلَّب	2	to cross oneself, make the sign of the cross
صَلَّح	يصَلَّح	2	to mend, repair, fix
صِلَح	يِصلَح	1	to be good, be right, be suitable
صَلَّع	يصَلَّع	2	to go bald
صَمَد	يُصمُد	1	to stand firm, hold on, persist
صَمَط	يُصمُط	1	to burn (trans)
صَمَّم	يصَمَّم	2	to plan, design, to intend, be determined, make up one's mind
صَنَّف	يصَنَّف	2	to classify, arrange, sort (out)
صِهَل	يِصهَل	1	to whinny, neigh
صَوَّب	يصَوَّب	2	to aim, take aim
صوبَن	يصوبَن		to soap (trans)
صَوَّت	يصَوَّت	2	to vote (to voice)
صَوَّر	يصَوَّر	2	to photograph, take a photo, photocopy, illustrate
صوصى	يصوصي		to cheep, chirp
صَيَّح	يصَيَّح	2	to shout, scream, cause an uproar
صَيَّف	يصَيَّف	2	to spend the summer, to wear summer clothes
ضارَب	يضارَب	3	to speculate
ضاع	يضيع	1	to get lost
ضاف	يضيف	1	to add
ضايَن	يضايَن	3	to last, to hold out, to stick to
ضَبّ	يضُبّ	1	to collect, to put away, pack
ضَبَط	يُضبُط	1	to control, have under control
ضَحَّك	يضَحَّك	2	to amuse, make someone laugh
ضِحَك	يِضحَك	1	to laugh
ضِحِك	يضْحَك		to laugh
ضَحّى	يضَحّي	2	to sacrifice
ضَخَّم	يضَخَّم	2	to inflate, blow up
ضَرّ	يضُرّ	1	to harm, cause harm to
ضَرَب	يُضرُب	1	to hit, beat, to bomb, shell, to multiply
ضَرَط	يُضرُط	1	to fart, pass wind
ضَعَّف	يضّعَّف	2	to weaken
ضِعَف	يِضعَف	1	to become weak/thin, to lose weight
ضَغَط	يِضغَط	1	to press, to put pressure on, to compress
ضَلّ	يضَلّ	1	to stay, remain, to continue, keep on
ضَمّ	يضُمّ	1	to bring together, join, bring/take into
ضِمَن	يِضمَن	1	to promise, assure, guarantee
ضَوَّع	يضَوَّع	2	to lose, to waste
ضَوى	يِضوي	1	to light, turn on, give light, illuminate, shine
ضَيَّع	يضَيَّع	2	to lost, waste
ضَيَّف	يضَيَّف	2	to recieve hospitality, entertain, to offer freshments
طاب	يطيب	1	to get better, to heal
طار	يطير	1	to fly, fly away, to take off
طارَد	يطارَد	3	to follow, pursue, to stalk, harrass
طاش	يطوش/يطيش	1	to float
طاع	يطيع	1	to obey
طاف	يطوف	1	to float
طاق	يطيق	1	to endure, bear, (be able to) stand
طال	يطول	1	to reach, be long enough, to reach and grasp
طَبّ	يطُبّ	1	to fall, land, fall upon, descend upon
طَبَخ	يُطبَخ	1	to cook
طَبَّش	يطَبَّش	2	to smash up, bang up, wreck
طَبطَب	يطَبطَب	[4]	to pat, tap
طَبَع	يِطبَع	1	to print, to type, to stand
طَبَّق	يطَبَّق	2	to apply, put into practice, implement (law, theory, etc), to alter to fit, adapt to fit
طَبَّل	يطَبَّل	2	to drum
طَجّ	يطُجّ	1	to bounce, rebound, to fail, mess up, to come away empty handed
طَحَن	يِطحَن	1	to grind
طَحى	يِطحي	1	to fire, sack, give the book
طَخّ	يطَخّ	1	to fire, shoot
طَرْتَش	يطَرْتِش		to spray, to splash
طَرَح	يِطرَح	1	to subtract, to present, submit, pose (question)
طَرَّح	يطَرَّح	2	to perform an abortion on, cause to miscarry
طِرَح	بتِطرَح	1	to miscarry, have a miscarriage
طَرَد	يُطرُد	1	to expell, drive out
طَرَّز	يطَرَّز	2	to embroider
طَرَش	يُطرُش	1	to deafen
طَرَش	يُطرُش	1	to sprinkle, spray, splash (with water), to whitewash
طَرَق	يُطرُق	1	to knock, rap, to slam
طِري	يِطرى	1	to soften, become soft
طَزّ	يطُزّ	1	to bounce, rebound (in القدس), to fart (in جليل)x
طَزطَز	يطَزطَز	[4]	to fart repeatedly
طَشّ	يطُشّ	1	to sizzle, to roam, ramble, meander around
طَعَج	يِطعَج	1	to bend, to dent
طَعَّم	يطَعَّم	2	to inoculate, vaccine
طَعمى	يطَعمي		to feed (trans)
طَعْمَى	يطَعْمي		to feed, to give a beating
طَفَخ	يِطفَخ	1	to overflow, boil over, be full ot bursting
طَفى	يِطفي	1	to put out (fire etc), to switch off, turn off
طَفَى	يطْفي		to extinguish
طَقّ	يطُقّ	1	to pop, to click, to be fed up
طَقَّش	يطَقَّش	2	to crack, crack open (trans)
طَقًع	يطَقَّع	2	to click, snap (trans), to stand someone up / leave someone hanging / let someone down, to trick, dupe, double cross
طَل	يطُلّ	1	to overlook, look out on, look in (pay brief visit), drop on, drop by, pop in
طَلَب	يُطلُب	1	to ask for, request, to order
طَلَّع	يطَلَّع	2	to take up, bring up, take out, bring out
طَلّع	يطَلِّع		to take out
طِلِع	يطْلَع		to go up, to go out
طَلَّق	يطَلَّق	2	to divorce (one's wife?)
طِلَق	بتِطلَق	1	to have contractions, be in labor
طَلى	يِطلي	1	to coat
طَمَح	يِطمَح	1	to aspire, strive, be ambitious
طِمَع	يِطمَع	1	to envy, to covet, hanker after
طَمَّن	يطَمَّن	2	to reassure
طَنَّش	يطَنَّش	2	to disregard, ignore, turn a blind eye
طَهَّر	يطَهَّر	2	to purify, cleanse, disinfect, circumsize
طَوَّب	يطَوَّب	2	to register (property)
طوبَر	يطوبَر		to construct a wooden form (for pouring concrete)
طَوبَر	يطَوبِر		to make moulds (pouring concrete)
طَوَّق	يطَوَّق	2	to surround, encircle
طَوَّل	يطَوَّل	2	to last, continue, take [a long] time, to lengthen, extend, to let down (clothes)
طَوّل	يطَوِّل		to lengthen
طِوَل	يِطوَل	1	to become longer/taller
طومَل	يطومَل		to bend over
طَوى	يِطوي	1	to fold
طَيَّب	يطَيَّب	2	to cure, make better
طَيَّر	يطَيَّر	2	to cause to fly, to blow away
ظَبَط	يُظبُط	1	to control, to fit, to work out
ظَبَّط	يظَبَّط	2	to fit (trans), adjust, regulate
ظَلَم	يُظلُم	1	to wrong, oppress, treat unjustly
ظَنّ	يظَنّ	1	to think, to suspect
ظَهَر	يِظهَر	1	to appear, become evident, to seem
عاد	يعيد	1	to repeat, do something again
عاد	يعود	1	to return, recur, do still, do again
عادى	يعادي	3	to be hostile
عاذ	يَعوذ	1	to take refuge, seek protection
عار	يعير	1	to lend
عارَض	يعارَض	3	to oppose, disagree
عاز	يعوز	1	to need, require
عاش	يعيش	1	to live, be alive
عاشَر	يعاشَر	3	to associate with, be in contact with
عافى	يعافي	3	to restore health, to keep someone healthy
عاقَب	يعاقَب	3	to punish
عالَج	يعالَج	3	to treat, take care of
عام	يعوم	1	to float
عامَل	يعامَل	3	to treat, behave towards
عان	يعِين	1	to help
عانَد	يعانَد	3	to resist (someone) stubbornly, to argue with (someone) persistently
عانى	يعاني	3	to suffer
عاوَد	يعاوَد	3	to repeat, do again
عاوَن	يعاوَن	3	to help
عايَد	يعايَد	3	to wish someone happy (religious?) holidays
عايَر	يعايَر	3	to embarras, cause to feel ashamed, make fun of, mock
عَبَّد	يعَبَّد	2	to surface, to pave
عبط	يُعبُط	1	to embrace, hug
عَبّى	يعَبّي	2	to fill, to fill in a form, to wind (a clock etc), to load a weapon
عَتَّم	يعَتَّم	2	to get dark, to darken, black out
عَجَب	يعجَب	1	to delight, please, satisfy, amaze
عَجَّب	يعَجَّب	2	to surprise, astonish, amaze
عَجَّل	يعَجَّل	2	to hurry, speed (up)
عَجّل	يعَجِّل		to hurry along, to speed up
عَجن	يجْعِن		to knead
عَجَن	يعجَن	1	to knead
عَدّ	يعَدّ	1	to count, consider to be
عَدّى	يعِدّي		to count
عَرَّب	يعَرَّب	2	to classify, sort, arrange, put in order
عَرَج	يُعرُج	1	to limp
عَرَض	يُعرُض	1	to present, put on, exhibit, show, to suggest, propose
عَرَّض	يعَرَّض	2	to display, exhibit, expose
عَرَّف	يعَرَّف	2	to inform, tell, introduce, define, hear confession
عِرِف	يعْرِف		to know
عِرَق	يَعرَق	1	to sweat, perspire
عَزّ	يعَزّ	1	to love, like
عَزَّب	يعَزَّب	2	to torture, cause suffering
عَزَر	يِعزَر	1	to forgive, absolve, excuse, exempt, to repremand, rebuke, tell off
عَزَّر	يعَزَّر	2	to reprimand, rebuke, tell off
عَزَّز	يعَزَّز	2	to strengthen, reinforce, consolidate
عَزَف	يِعزَف	1	to play (an instrument)
عَزَل	يعزَل	1	to isolate, to dismiss, fire, sack
عَزَّل	يعَزَّل	2	to clean, clean out, clear, clear out
عَزَم	يَعزَم	1	to invite
عَزّى	يعَزّي	2	to comfort, console, offer condolences
عَشَّب	يعَشَّب	2	to weed
عِشَق	يِعشَق	1	to fall in love with
عَشَّن	يعَشَّن	2	to wear for the first time
عَشّى	يعَشّي	2	to give someone dinner
عَصّ	يعُصّ	1	to press, squeeze, smash
عَصَّب	يعَصَّب	2	to bandage, to blindfold
عَصَر	يُعصُر	1	to wring, wring out, squeeze (fruit), press (olives etc)
عَضّ	يعُضّ	1	to bite
عَطَس	يُعطُس	1	to sneeze
عَطَّس	يعَطَّس	2	to sneeze several times
عَطَّش	يعَطَّش	2	to make thirsty
عِطَش	يَعطَش	1	to be thirsty, become thirsty
عَطَّل	يعَطَّل	2	to stop working, break down, to prevent someone from working, to interrupt someone's work
عَفَّش	يعَفَّش	2	to furnish, equip
عَفَّن	يعَفَّن	2	to get moldy, musty, rancid
عَفى	يَعفي	1	to excempt, excuse, pardon
عَقَد	يُعقُد	1	to tie (one) knot
عَقَّد	يعَقَّد	2	to tie (several) knots, to complicate, to give someone a complex, to thicken, congeal
عِقَل	يِعقَل	1	to be/become sensible, reasonable, intelligent, to gain understanding
عَقَّم	يعَقَّم	2	to sterilise
عَكَس	يَعكَس	1	to reflect
عَلَّق	يعَلَّق	2	to hang, hang up, put up, to interpret, comment on
عِلَق	يَعلَق	1	to stick, get stuck, get caught, become entangled, to begin
عَلَك	يِعلَك	1	to chew
عَلَّل	يعَلَّل	2	to hold a تَعليلة, to justify, explain, give reason for
عَلَّم	يعَلَّم	2	to teach, to mark, indicate, earmark
عِلِم	يعْلَم		to know
عَلَّى	يعَلّى		to raise, to elevate
عَلّى	يعَلّي	2	to raise, make higher
عَمَّد	يعَمَّد	2	to baptise, have someone baptised
عَمَّر	يعَمَّر	2	to build
عَمَّل	يعَمَّل	2	to produce pus
عِمِل	يعْمَل		to do
عَمَّم	يعَمَّم	2	to generalize, make generalizations
عَمى	يَعمي	1	to blind, dazzle
عَمَى	يعْمِي		to blind
عَنّ	يعَنّ	1	to groan
عَنتَر	يعَنتَر		to boast, brag
عَنَّد	يعَنَّد	2	to be stubborn, persist stubbornly
عَنوَن	يعَنوَن		to address (a letter etc)
عَنَى	يعْني		to mean
عَوَّد	يعَوَّد	2	to accustom, condition, get someone used to something
عَوَر	يِعوَر	1	to blind in the eye
عَوَّر	يعَوَّر	2	to injure, hurt
عَوَّض	يعَوَّض	2	to compensate, pay compensation
عَوَّق	يعَوَّق	2	to hold up, detain, delay, hinder, stand in the way of
عَوّى	يعَوّي	2	to bark, howl
عَيَّد	يعَيَّد	2	to celebrate a (religious) holiday
عَيَّر	يعَيَّر	2	to embarass, humiliate, insult, tease cruelly
عَيَّط	يعَيَّط	2	to shout, scream, to call, call out, to cry (in some areas)
عَيَّن	يعَيَّن	2	to fix, set, assign, appoint, to aim
غاب	يغيب	1	to be absent/away, to set (of sun)
غار	يغار	1	to be jealous
غار	يغار	1	to protect jealously, care for
غار	يغار	1	to be ticklish
غازَل	يغازَل	3	to court
غاص	يغوص	1	to dive
غاوَز	يغاوَز	3	to treat preferentially, to favor
غَبّ	يغُبّ	1	to soak up, absorb, to slurp
غَبَّر	يغَبَّر	2	to cover with dust, (in some areas) to remove dust
غَبَّش	يغَبَّش	2	to become blurred
غِدَر	يِغدَر	1	to be able, can
غَدّى	يغَدّي	2	to give lunch (to)
غَرّ	يغُرّ	1	to decieve, mislead
غَربَل	يغَربَل		to sieve, sift
غَرَّد	يغَرَّد	2	to sing (bird)
غَرَز	يِغرَز	1	to plant, insert, stick into, stab
غَرَّز	يغَرَّز	2	to sink (intrans)
غَرَس	يِغرَس	1	to plant
غَرغَر	يغَرغَر	[4]	to gargle (in some areas), to tickle (in some areas)
غَرَّق	يغَرَّق	2	to drown (trans), immerse, to soak, drench, to sink, scuttle
غِرَق	يِغرَق	1	to drown, sink, be immersed in
غَرّى	يغَرّي	2	to glue
غَزّ	يغُزّ	1	to prick, stab, jab, stick into
غَزَل	يِغزَل	1	to spin (woll, cotton, etc)
غَزى	يغَزي	1	to raid, invade
غَسَل	يِغسَل	1	to wash, to launder
غَسَّل	يغَسَّل	2	to wash (hands, face, etc)
غَشّ	يغُشّ	1	to decieve, cheat, dupe
غِشي	يِغشى	1	to faint, explode, burst up, crack up (with laughter)
غَصَب	يُغصُب	1	to force, compel, to rape
غَضّ	يغُضّ	1	to lower one's glance, to disregard
غِضَب	يِغضَب	1	to be angry
غَطّ	يغُطّ	1	to immerse, dip
غَطَس	يُغطُس	1	to dive, submerge
غَطّى	يغَطّي	2	to cover, cover up, hide
غِفَل	يِغفَل	1	to fail to notice, pay no attention, be inattentive, be observant
غِفي	يِغفى	1	to fall asleep, drop off
غَلَب	يِغلَب	1	to conquer, defeat, win
غَلَّب	يغَلَّب	2	to be a nuisance, disturb
غَلَّط	يغَلَّط	2	to mislead, cause to make a mistake, to disturb (in some areas)
غِلَط	يِغلَط	1	to make a mistake, be wrong
غِلِط	يغْلَط		to be wrong
غَلى	يِغلي	1	to boil (trans and intrans)
غَلَى	يغْلي		to boil
غَلّى	يغَلّي	2	to raise the price of, charge a high price
غَلَّى/غِلي	يغَلّي/يغْلَى		to increase (in value)
غِلي	يِغلى	1	to become more expensive, go up in price
غَمَر	يغَمَر	1	to embark on an adventure, to risk
غَمَز	يِغمَز	1	to wink
غَمَض	يُغمُض	1	to close (intrans, of eyes)
غَمَّض	يغَمَّض	2	to close (eyes)
غَمَّق	يغَمَّق	2	to make deeper, to deepen
غِمي	يِغمى	1	to faint
غَنّى	يغَنّي	2	to sing
غِني	يِغنى	1	to get rich, become wealthy
غَيَّر	يغَيَّر	2	to change something
غَيَّم	يغَيَّم	2	to get cloudy
فَئفَئ	يفَئفَئ		to say 'fe, fe' all the time (a kinda speech defect)
فات	يفوت	1	to pass (time mainly), to enter, come in, go in
فاتَح	يفاتَح	3	to start talking to, get into a conversation with, bring up a subject
فاجَأ	يفاجِئ		to surprise
فاجَئ	يفاجَئ	3	to surprise
فار	يفور	1	to boil, boil over
فارَق	يفارِق		to be parted from, to have bid farewell to
فاز	يفوز	1	to win, be victorious, to attain, accomplish
فاصَل	يفاصَل	3	to bargain
فاض	يفيض	1	to overflow, flood
فاق	يفيق	1	to wake up
فاقَس	يفاقَس	3	to bump (easter) eggs together (traditional festive children's game)
فَتَح	يِفتَح	1	to open
فَتَّح	يفَتَّح	2	to open (of eyes)
فَتَّش	يفَتَّش	2	to look for, search for, seek, to search, carry out a search, to supervise, oversee
فَتفَت	يفَتفَت	[4]	to crumble, make into crumbs
فَتَن	يِفتَن	1	to charm, fascinate
فَتَن	يِفتَن	1	to inform against, tell on
فَجَّر	يفَجَّر	2	to blast, blow up, detonate
فَحَص	يِفحَص	1	to examine
فَخَّم	يفخم	2	to honor, treat respectfully, to pronounce emphatically
فَرّ	يفُرّ	1	to run away, flee, to wander around
فَرَج	يِفرَج	1	to relieve, grant a respite
فَرَّج	يفَرَّج	2	to show, show round
فَرجى	يفَرجي		to show
فَرْجَى	يْفَرْجِي		to show
فِرَح	يِفرَح	1	to be happy/glad, to be pleased
فَرَد	يِفرَد	1	to scatter, spread (out) (intrans)
فَرشى	يفَرشي		to brush
فَرَض	يِفرَض	1	to impose, to assume
فَرَّغ	يفَرَّغ	2	to empty
فَرَق	يِفرَق	1	to differ, be different, to divide, seperate, distinguish, to part one's hair
فَرَّق	يفَرَّق	2	to separate, divide to disperse, distribute, to differentiate, distinguish
فَرَك	يُفرُك	1	to rub, to polish
فَركَش	يفَركَش		to trip (someone) up
فَرَم	يُفرُم	1	to chop up
فَزّ	يفَزّ	1	to jump up, get up abruptly, start
فَزَع	يِفزَع	1	to rush to (someone's) aid
فَسَد	يِفسَد	1	to inform against, tell on, blow the whistle on
فَسَّد	يفَسَّد	2	to stir up trouble, to slander, speak ill of
فَسَّر	يفَسَّر	2	to explain, interpret
فَشّ	يفَش	1	to vent, pour out, to burst, to lance
فَشَخ	يِفشَخ	1	to wound in the head
فَشَر	يِفشَر	1	to boast, brag, show off, to tell tales, tell lies
فَشَق	يُفشُق	1	to jump over, skip over
فَشَّق	يفَشَّق	2	to skip, leave out
فَشَّل	يفَشَّل	2	to cause to fail, to obstruct, frustrate, to disappoint, let down
فِشَل	يِفشَل	1	to fail
فَشى	يِفشي	1	to spread something
فَشّى	يفَشّي	2	to spread around
فَصَل	يِفصَل	1	to dismiss, sack, expel, separate
فَصَّل	يفَصَّل	2	to detail, describe in detail, to cut out (cloth)
فَضَح	يِفضَح	1	to scandalize, shame, disgrace, dishonor (publicly), show up, bring to disrepute, make shameful facts public
فَضَّل	يفَضَّل	2	to favor, prefer
فِضل	يِفضَل	1	to be left over
فَضّى	يفَضّي	2	to vacate, empty
فِضي	يِفضى	1	to empty, become free/unoccupied, to make time for
فَطَر	يُفطُر	1	to eat breakfast break a fast, stop fasting
فَطَّس	يفَطَّس	2	to stink
فَطَم	يُفطُم	1	to wean
فِطَن	يِفطَن	1	to remember, recall
فَطَّن/فَطَّر	يفَطَّن/يفَطَّر	2	to remind
فَعَص	يِفعَص	1	to squash, crush, flatten
فَعَط	يِفعَط	1	to scatter, flee, run away
فَعفَل	يفَعفَل		to pick over, search through
فَقَح	يِفقَح	1	to cut open, lance
فَقَد	يِفقَد	1	to lose (usually abstract), to be bereaved, lost a family member, to check up on, keep an eye on
فَقَّس	يفَقَّس	2	to hatch
فَقَع	يِفقَع	1	to burst
فَقَّع	يفَقَّع	2	to burst something, make something burst
فَقفَل	يفَقفَل		to blister
فَكّ	يفَكّ	1	to untie, undo, loosen (knot rope etc), to solve, decipher, to remove, take off
فَكَّر	يفَكَّر	2	to think
فَكّر	يفَكِّر		to think, to assume
فَكسَس	يفَكسَس		to fax, send a fax
فَكفَك	يفَكفَك	[4]	to disentangle, undo (knots), to dismantle, take apart
فَلّ	يفَل	1	to leave
فَلَّت	يفَلَّت	2	to let go, release, set free
فِلَت	يِفلَت	1	to escape, slip away
فَلَح	يِفلَح	1	to plough, cultivate, till
فَلفَل	يفلفل	[4]	to boil (rice) in water
فَلَّل	يفَلَّل	2	to fill up (with gas etc) (from english)
فَلّى	يفَلّي	2	to search (through), ransack
فَنّ	يفَنّ	1	to toss, flip a coin
فَهَّم	يفَهَّم	2	to explain, make understand
فَهّم	يفَهِّم		to explain
فِهَم	يِفهَم	1	to understand
فِهِم	يفْهَم		to understand
فَوَّت	يفَوَّت	2	to bring in, let in, let through, put in
فَوّت	يفَوِّت		to let through
فَوَّد	يفَوَّد	2	to authorize, empower, give full authority
فودَس/فَيدَس	يفودَس/يفَيدَس		to take a holiday, be on holiday
فَوَّر	يفَوَّر	2	to boil (intrans)
فورَص	يفورَص		to go on holiday, take a vacation, spend a holiday
فَوَّل	يفَوَّل	2	to bring bad luck
فَيَّق	يفَيَّق	2	to wake someone up
قابَل	يقابَل	3	to interview, have a meeting with
قاد	يقود	1	to lead, command, conduct
قارَن	يقارَن	3	to compare, draw a comparison
قاس	يقيس	1	to measure, gauge, take measurements, to try on, to compare, equate
قاصَص	يقاصَص	3	to punish (usually within home/school)
قاطَع	يقاطَع	3	to boycott, shun
قاقى	يقاقي	3	to cluck
قال	يقول	1	to say, tell, talk
قام	يقوم	1	to get up, stand up, rise, to do, implement, carry out, undertake, to begin, start (to do something)
قام	يقيم	1	to remove, take off, take away
قاهَر	يقاهَر	3	to bother, annoy, harass
قَاوَم	يقاوَم	3	to withstand, resist, oppose
قَبَر	يِقبَر	1	to bury
قَبَض	يُقبُض	1	to catch, seize, to get/recieve (money)
قَبَع	يِقبَع	1	to tear off
قِبَل	يِقبَل	1	to accept, agree
قَتَل	يِقتَل	1	to kill, murder, beat, hit, thrash
قَحّ	يقُحّ		to cough
قَحَط	يِقحَط	1	to scratch, scrape
قَحقَح	يقَحقَح	[4]	to cough several times, clear one's throat
قَدَح	يِقدَح	1	to drill, make a hole
قَدَّح	يقَدَّح	2	to make/drill several holes
قَدَّر	يقَدَّر	2	to estimate, value, appreciate, to decree, ordain, seal someone's fate (said of God)
قِدِر	يقْدَر		to be able
قَدَّس	يقَدَّس	2	to sanctify, say mass
قَدَّف	يقَدَّف	2	to row (a boat)
قَدَّم	يقَدَّم	2	to advance, move forward, serve, present, offer, submit
قَرّ	يقَرّ	1	to confess
قَرَّب	يقَرَّب	2	to bring closer, to draw closer, to approach, go near
قِرَب	يِقرَب	1	to be related to (family)
قَرَص	يُقرُص	1	to pinch, to sting, to bite (snake, mosquito)
قَرَض	يُقرُض	1	to lend (something which is not itself returned, but paid back in kind)
قَرَط	يُقرُط	1	to gnaw, crunch, to mispronounce ( ر usually)
قَرَّف	يقَرَّف	2	to nauseate, make someone feel sick
قِرَف	يِقرَف	1	to feel sick, be nauseated, feel nauseous
قَرفَص	يقَرفَص		to sit cross-legged
قَرقَع	يقَرقَع		to croak, to clatter, to rumble
قَرمَز	يقَرمَز		to squat, crouch, sit on one's haunches
قَرمَط/قَرقَط/قَرقَش/قَرمَش	يقَرمَط/يقَرقَط/يقَرقَش/يقَرمَش		to gnaw/crunch (depending on the area)
قَروَص	يقَروَص		to pinch lightly, pinch several times, pinch repeatedly
قِري	يِقرى	1	to read
قِرِي	يقْرَا		to read
قَسَم	يِقسَم	1	to halve, divide (in two), to divide (math)
قَسَّم	يقَسَّم	2	to divide, divide up, apportion, allocate
قِسي	يِقسى	1	to harden (intrans), to become hard, to treat harshly
قَشَّب	يقَشَّب	2	to become callused, develop calluses
قَشَّر	يقَشَّر	2	to peel
قَشَط	يُقشُط	1	to skim, skim off, to scrape, scrape off
قَشَّط	يقَشَّط	2	to rob
قَصّ	يقَصّ	1	to cut (with scissors), to get cut (hair)
قَصَد	يُقصُد	1	to mean, intend
قَصَر	يُقصُر	1	to plaster, to apply a smooth layer of concrete, to roughcast (wall)
قَصَّر	يقَصَّر	2	to shorten, make shorter, take a shortcut, to fall short, fall behind
قِصَر	يِقصَر	1	to become shorter
قَصَف	يِقصَف	1	to bomb, to shell
قَضى	يِقضي	1	to judge, spend (time), to fulfil, take care of
قَضى	يِقضي	1	to kill, exterminate
قَضّى	يقَضّي	2	to spend time
قَطَب	يُقطُب	1	to stich, stich up, suture
قَطَر	يُقطُر	1	to drop (ie put drops in eye), put drops in
قَطَّر	يقَطَّر	2	to drop a liquid, put drops in, to distil, filter
قَطَع	يِقطَع	1	to cut, cut in half, to stop, cut off, interrupt, disconnect, to buy (ticket), to cross, to leave behind, leave without
قَطَّع	يقَطَّع	2	to cut up, to interrupt, to take across, lead across, help across
قَطَف	يُقطُف	1	to pick, harvest, gather
قَعَد	يُقعُد	1	to sit, stay, begin, be inactive, have the day off
قَعَّد	يقَعَّد	2	to seat/sit someone
قَفَر	يُقفَر	1	to unmask, expose, discover the truth, find out about
قَفَز	يِقفَز	1	to jump, leap, bound
قَفَّل	يقَفَّل	2	to lock
قَلّ	يقَلّ	1	to decrease, dwindle, grow less, grow fewer
قَلَب	يِقلَب	1	to turn upside down or inside out, to turn over (trans), to change one's mind
قَلَّب	يقَلَّب	2	to turn over several times, to flick through, to zap (TV?)
قَلَّد	يقَلَّد	2	to imitate, copy
قَلَّص	يقَلَّص	2	to reduce, cut down (on)
قَلَع	يقْلَع		to remove, to take out, to extract, to take off clothes
قَلعَط	يقَلعَط		to dirty, make dirty, make a mess of
قِلَق	يِقلَق	1	to become anxious/worried/concerned, to be troubled
قِلِق	يقْلَق		to worry, to be anxious
قَلَّل	يقَلَّل	2	to reduce, decrease
قَلَّم	يقَلَّم	2	to stripe, make stripes, to mark
قَلى	يِقلي	1	to fry lightly
قَلّى	يقَلّي	2	to fry (for a long time)
قَمَّط	يقَمَّط	2	to put a diaper/nappy on (a baby), change diaper
قَنَّن	يقَنَّن	2	to smell stale (intrans)
قَنَّن	يقَنَّن	2	to limit, restrict, ration, be sparing with
قَهَر	يِقهَر	1	to bother, annoy, upset, cause unhappiness
قَوَّر	يقَوَّر	2	to hollow out, to core
قَوَّس	يقَوَّس	2	to shoot
قَوّى	يقَوّي	2	to strengthen
قِوي	يِقوى	1	to become stronger, regain strength, to overcome
قَيَّد	يقَيَّد	2	to bind, shackle, limit, confine, to take notes, record, write down, register
قَيَّس	يقَيَّس	2	to fit (someone) for, to let (someone) try on
كاد	يكاد	1	to be on the point of doing something, [to] almost [do something]
كاغةَ	يكاغي		to babble, to prattle
كافَئ	يكافَئ	3	to recompense, reward
كافَح	يكافَح	3	to combat, fight (against), wage war on
كافى	يكافي	3	to reward, recompense
كان	يكون		to be
كَبّ	يكُبّ	1	to spill, pour away, throw out
كَبَت	يِكبَت	1	to repress, bottle up
كَبَّر	يكّبَّر	2	to make bigger, enlarge, to think someone's older than they are, to exaggerate, blow out of proportion
كِبَر	يِكبَر	1	to grow, get bigger, age
كِبِر	يكْبَر		to grow up
كَبَس	يِكبَس	1	to press, to click (computer mouse), to rain (sudden heavy rain), to arrive unexpectedly, to raid, to pickle, preserve, conserve, to press (dried fruit)
كَبَّس	يكَبَّس	2	to press hard, press repeatedly
كَبكَب	يكَبكَب	[4]	to spill in small quantities at intervals
كَبْكَب	يكَبْكِب		to spill (in small quantities)
كَبّى	يكَبّي	2	to fall forward
كَتّ	يكُتّ	1	to fall (leaves), to fall out (hair), to peel (paint, skin), to shake (carpet), to flick (cigarette, so the ash falls off)
كَتَب	يكْتُب		to write
كَتَّر	يكَتَّر	2	to increase, multiply
كِتر	يِكتَر	1	to be many, be numerous, increase in number
كَتَم	يِكتَم	1	to heal, heal up, close up (of wound)
